produto,precos,desconto,valor parcelado
"PC Gamer Pichau MSI Monster Hunter, Intel i5-14600KF, GeForce RTX 4060 Ti 8GB, 16GB DDR5, SSD M.2 1TB","R$ 13.899,00",no PIX com 15% desconto,"em até 12x de R$ 1.362,65
sem juros no cartão"
"PC Gamer Pichau Highflyer, AMD Ryzen 7 7800X3D, Radeon RX 7900 XT 20GB, 32GB DDR5, SSD M.2 2TB","R$ 16.829,01",no PIX com 15% desconto,"em até 12x de R$ 1.649,90
sem juros no cartão"
"PC Gamer Pichau Highflyer, AMD Ryzen 7 7800X3D, Radeon RX 7900 GRE 16GB, 32GB DDR5, SSD M.2 2TB","R$ 15.458,98",no PIX com 15% desconto,"em até 12x de R$ 1.515,59
sem juros no cartão"
"PC Gamer Pichau Corsair iCue, AMD Ryzen 5 5500, GeForce RTX 3060 12GB, 16GB DDR4, SSD 480GB","R$ 6.951,05",no PIX com 15% desconto,"em até 12x de R$ 681,48
sem juros no cartão"
"PC Gamer Pichau Highflyer, AMD Ryzen 7 5800XT, GeForce RTX 4080 Super 16GB, 32GB DDR4, SSD M.2 1TB","R$ 16.099,04",no PIX com 15% desconto,"em até 12x de R$ 1.578,34
sem juros no cartão"
"PC Gamer Pichau Highflyer, AMD Ryzen 7 5800XT, GeForce RTX 4070 Ti Super 16GB, 32GB DDR4, SSD M.2 1TB","R$ 13.749,03",no PIX com 15% desconto,"em até 12x de R$ 1.347,94
sem juros no cartão"
"PC Gamer Pichau Hellheim, AMD Ryzen 5 5600X, Radeon RX 5700 XT 8GB, 16GB DDR4, SSD M.2 480GB","R$ 4.099,01",no PIX com 15% desconto,"em até 12x de R$ 401,86
sem juros no cartão"
"PC Gamer Pichau Ganesha II, Intel i5-12400F, Radeon RX 5700 XT 8GB, 16GB DDR4, SSD M.2 480GB","R$ 3.699,97",no PIX com 15% desconto,"em até 12x de R$ 362,74
sem juros no cartão"
"PC Gamer Pichau Hefesto IV, Intel i5-10400F, Radeon RX 5700 XT 8GB, 16GB DDR4, SSD 480GB","R$ 3.299,96",no PIX com 15% desconto,"em até 12x de R$ 323,53
sem juros no cartão"
"PC Gamer Pichau Urano, AMD Ryzen 5 5500, Radeon RX 5700 XT 8GB, 16GB DDR4, SSD 480GB","R$ 3.499,99",no PIX com 15% desconto,"em até 12x de R$ 343,14
sem juros no cartão"
"PC Gamer Mancer, AMD Ryzen 5 5500, Radeon RX 6600 8GB, 16GB DDR4, SSD 480GB","R$ 3.299,98",no PIX com 15% desconto,"em até 12x de R$ 323,53
sem juros no cartão"
"PC Gamer Pichau Highflyer, AMD Ryzen 7 7800X3D, GeForce RTX 4080 Super 16GB, 32GB DDR5, SSD M.2 2TB","R$ 20.029,03",no PIX com 15% desconto,"em até 12x de R$ 1.963,63
sem juros no cartão"
"PC Pichau Gamer BGS, AMD Ryzen 7 5700X, GeForce RTX 4060 8GB, 16GB DDR4, SSD M.2 480GB","R$ 7.144,08",no PIX com 15% desconto,"em até 12x de R$ 700,40
sem juros no cartão"
"PC Gamer Pichau Highflyer, AMD Ryzen 7 7800X3D, GeForce RTX 4070 Ti Super 16GB, 32GB DDR5, SSD M.2 1TB","R$ 16.199,00",no PIX com 15% desconto,"em até 12x de R$ 1.588,14
sem juros no cartão"
"PC Gamer Pichau Hanuman III, AMD Ryzen 5 7600, GeForce RTX 4070 Super 12GB, 16GB DDR5, SSD M.2 480GB","R$ 11.591,28",no PIX com 15% desconto,"em até 12x de R$ 1.136,40
sem juros no cartão"
"PC Gamer Pichau Kodama, AMD Ryzen 5 7600, GeForce RTX 3050 6GB, 16GB DDR5, SSD 480GB","R$ 4.139,99",no PIX com 15% desconto,"em até 12x de R$ 405,88
sem juros no cartão"
"PC Gamer Pichau Hanuman II, AMD Ryzen 5 7600, GeForce RTX 4060 Ti 8GB, 16GB DDR5, SSD M.2 480GB","R$ 6.559,99",no PIX com 15% desconto,"em até 12x de R$ 643,14
sem juros no cartão"
"PC Gamer Pichau Corsair iCue, AMD Ryzen 5 4600G, 16GB DDR4, SSD 480GB","R$ 3.169,99",no PIX com 15% desconto,"em até 12x de R$ 310,78
sem juros no cartão"
"Computador Gamer Pichau, AMD Ryzen 5 2400G, 16GB DDR4, SSD 480GB","R$ 1.539,99",no PIX com 15% desconto,"em até 12x de R$ 150,98
sem juros no cartão"
"Computador Gamer Pichau, AMD Ryzen 5 2400G, 16GB DDR4, SSD 240GB","R$ 1.519,97",no PIX com 15% desconto,"em até 12x de R$ 149,02
sem juros no cartão"
"Computador Gamer Pichau, AMD Ryzen 5 2400G, 8GB DDR4, SSD 240GB","R$ 1.630,58",no PIX com 15% desconto,"em até 12x de R$ 159,86
sem juros no cartão"
"Computador Gamer Pichau, AMD Ryzen 5 2400G, 8GB DDR4, SSD 120GB","R$ 1.219,98",no PIX com 15% desconto,"em até 12x de R$ 119,61
sem juros no cartão"
"PC Gamer Pichau Sigyn III, Intel i5-10400F, GeForce GTX 1060 3GB, 16GB DDR4, SSD 240GB","R$ 2.599,97",no PIX com 15% desconto,"em até 12x de R$ 254,90
sem juros no cartão"
"PC Gamer Pichau Crisipo, AMD Ryzen 5 5600X, Radeon RX 6750 XT 12GB, 16GB DDR4, SSD 480GB","R$ 5.029,02",no PIX com 15% desconto,"em até 12x de R$ 493,04
sem juros no cartão"
"PC Gamer Pichau Creteu, AMD Ryzen 5 5600X, GeForce RTX 4060 8GB, 16GB DDR4, SSD 480GB","R$ 5.601,64",no PIX com 15% desconto,"em até 12x de R$ 549,18
sem juros no cartão"
"PC Gamer Pichau, Intel i3-12100F, GeForce GTX 1060 3GB, 8GB DDR4, SSD 240GB","R$ 2.499,98",no PIX com 15% desconto,"em até 12x de R$ 245,10
sem juros no cartão"
"PC Gamer Completo Pichau Flegias VI, AMD Ryzen 5 2400G, 16GB DDR4, SSD 480GB + Monitor + Kit Periféricos + Cadeira Gamer","R$ 2.565,43",no PIX com 15% desconto,"em até 12x de R$ 251,51
sem juros no cartão"
"PC Gamer Completo Pichau Flegias V, AMD Ryzen 5 2400G, 16GB DDR4, SSD 480GB + Monitor + Kit Periféricos","R$ 2.180,00",no PIX com 15% desconto,"em até 12x de R$ 213,73
sem juros no cartão"
