nome do produto,processador,memória ram,armazenamento,placa de video,precos,desconto,valor parcelado
Computador Gamer Pichau, AMD Ryzen 5 2400G, 16GB DDR4, SSD 480GB,Sem placa de video,1520.00,no PIX com 15% desconto,"  12x de R$ 149,02 "
Computador Gamer Pichau, AMD Ryzen 5 2400G, 16GB DDR4, SSD 240GB,Sem placa de video,1450.00,no PIX com 15% desconto,"  12x de R$ 142,16 "
Computador Gamer Pichau, AMD Ryzen 5 2400G, 8GB DDR4, SSD 240GB,Sem placa de video,1299.99,no PIX com 15% desconto,"  12x de R$ 127,45 "
Computador Gamer Pichau, AMD Ryzen 5 2400G, 8GB DDR4, SSD 120GB,Sem placa de video,1259.99,no PIX com 15% desconto,"  12x de R$ 123,53 "
PC Gamer Pichau Sigyn III, Intel i5-10400F, 16GB DDR4, SSD 240GB, GeForce GTX 1060 3GB,2648.31,no PIX com 15% desconto,"  12x de R$ 259,64 "
PC Gamer Mancer, Intel i3-14100, 16GB DDR4, SSD M.2 480GB, UHD 730,2489.96,no PIX com 15% desconto,"  12x de R$ 244,11 "
PC Gamer Pichau, Intel i3-12100, 16GB DDR4, SSD M.2 480GB, UHD 730,2199.97,no PIX com 15% desconto,"  12x de R$ 215,68 "
PC Gamer Pichau Crisipo, AMD Ryzen 5 5600X, 16GB DDR4, SSD 480GB, Radeon RX 6750 XT 12GB,4872.55,no PIX com 15% desconto,"  12x de R$ 477,70 "
PC Gamer Pichau Creteu, AMD Ryzen 5 5600X, 16GB DDR4, SSD 480GB, GeForce RTX 4060 8GB,6634.08,no PIX com 15% desconto,"  12x de R$ 650,40 "
PC Gamer Pichau, Intel i3-12100F, 8GB DDR4, SSD 240GB, GeForce GTX 1060 3GB,2459.98,no PIX com 15% desconto,"  12x de R$ 241,17 "
PC Gamer Pichau Afrodite, Intel i5-13400F, 16GB DDR4, SSD M.2 480GB, Radeon RX 5600 6GB,3799.86,no PIX com 15% desconto,"  12x de R$ 372,54 "
PC Gamer Completo Pichau Cicreu VI, AMD Ryzen 3 4350GE, 16GB DDR4, SSD 480GB   ,Sem placa de video,2589.99,no PIX com 15% desconto,"  12x de R$ 253,92 "
PC Gamer Completo Pichau Cicreu V, AMD Ryzen 3 4350GE, 16GB DDR4, SSD 480GB  ,Sem placa de video,2089.98,no PIX com 15% desconto,"  12x de R$ 204,90 "
PC Gamer Completo Mancer Feácio VI, AMD Ryzen 3 5300G, 16GB DDR4, SSD 480GB   ,Sem placa de video,2889.98,no PIX com 15% desconto,"  12x de R$ 283,33 "
PC Gamer Completo Mancer Feácio V, AMD Ryzen 3 5300G, 16GB DDR4, SSD 480GB  ,Sem placa de video,2339.98,no PIX com 15% desconto,"  12x de R$ 229,41 "
PC Gamer Pichau Flegias III, AMD Ryzen 5 2400G, 16GB DDR4, SSD 480GB,Sem placa de video,1539.99,no PIX com 15% desconto,"  12x de R$ 150,98 "
PC Gamer Completo Mancer Krampus II, AMD Ryzen 5 5500, 16GB DDR4, SSD 480GB  , GeForce RTX 3060 12GB,4299.98,no PIX com 15% desconto,"  12x de R$ 421,57 "
PC Gamer Pichau Flegias II, AMD Ryzen 5 2400G, 16GB DDR4, SSD 240GB,Sem placa de video,1449.99,no PIX com 15% desconto,"  12x de R$ 142,16 "
PC Gamer Pichau Flegias, AMD Ryzen 5 2400G, 8GB DDR4, SSD 240GB,Sem placa de video,1389.95,no PIX com 15% desconto,"  12x de R$ 136,27 "
PC Gamer Mancer Feácio IV, AMD Ryzen 3 5300G, 16GB DDR4, SSD M.2 480GB,Sem placa de video,1899.98,no PIX com 15% desconto,"  12x de R$ 186,27 "
PC Gamer Mancer GM-012, Intel Core i7, 16GB DDR3, SSD 480GB, GeForce RTX 3050 6GB,2569.98,no PIX com 15% desconto,"  12x de R$ 251,96 "
PC Gamer Mancer Feácio III, AMD Ryzen 3 5300G, 16GB DDR4, SSD 480GB,Sem placa de video,1879.99,no PIX com 15% desconto,"  12x de R$ 184,31 "
PC Gamer Mancer GM-011, Intel Core i7, 16GB DDR3, SSD 240GB, GeForce GTX 1060 3GB,1909.96,no PIX com 15% desconto,"  12x de R$ 187,25 "
PC Gamer Mancer GM-010, Intel Core i7, 16GB DDR3, SSD 480GB, GeForce GTX 1060 6GB,2219.97,no PIX com 15% desconto,"  12x de R$ 217,64 "
PC Gamer Mancer Feácio II, AMD Ryzen 3 5300G, 16GB DDR4, SSD 240GB,Sem placa de video,1749.99,no PIX com 15% desconto,"  12x de R$ 171,57 "
Computador Gamer Pichau Catreu III, AMD Ryzen 3 5300G, 16GB DDR4, SSD 480GB,Sem placa de video,1936.36,no PIX com 15% desconto,"  12x de R$ 189,84 "
PC Gamer Mancer Feácio, AMD Ryzen 3 5300G, 8GB DDR4, SSD 240GB,Sem placa de video,1629.98,no PIX com 15% desconto,"  12x de R$ 159,80 "
PC Gamer Mancer GM-009, Intel Core i5, 16GB DDR3, SSD 480GB, GeForce GTX 1060 6GB,2099.98,no PIX com 15% desconto,"  12x de R$ 205,88 "
PC Gamer Mancer GM-008, Intel Core i5, 16GB DDR3, SSD 240GB, GeForce GTX 1060 3GB,1799.98,no PIX com 15% desconto,"  12x de R$ 176,47 "
Computador Gamer Pichau Catreu II, AMD Ryzen 3 5300G, 16GB DDR4, SSD 240GB,Sem placa de video,1866.25,no PIX com 15% desconto,"  12x de R$ 182,97 "
PC Gamer Pichau Cicreu IV, AMD Ryzen 3 4350GE, 16GB DDR4, SSD M.2 480GB,Sem placa de video,1699.98,no PIX com 15% desconto,"  12x de R$ 166,67 "
PC Gamer Pichau Cicreu III, AMD Ryzen 3 4350GE, 16GB DDR4, SSD 480GB,Sem placa de video,1629.98,no PIX com 15% desconto,"  12x de R$ 159,80 "
PC Gamer Pichau Cicreu II, AMD Ryzen 3 4350GE, 16GB DDR4, SSD 240GB,Sem placa de video,1539.99,no PIX com 15% desconto,"  12x de R$ 150,98 "
PC Gamer Pichau Ramiel VII, Intel i5-12400F, 16GB DDR5, SSD M.2 480GB, Radeon RX 6600 8GB,3859.96,no PIX com 15% desconto,"  12x de R$ 378,43 "
PC Gamer Pichau Cicreu, AMD Ryzen 3 4350GE, 8GB DDR4, SSD 240GB,Sem placa de video,1429.99,no PIX com 15% desconto,"  12x de R$ 140,20 "
PC Gamer Pichau Ramiel VI, Intel i5-12400F, 16GB DDR5, SSD M.2 480GB, GeForce RTX 4060 8GB,4699.96,no PIX com 15% desconto,"  12x de R$ 460,78 "
